AirportId,Iata,Latitude,Longitude,Timezone
12199,HPV,22.20916667,-159.44555556,Pacific/Honolulu
12200,HQM,46.97111111,-123.93666667,America/Los_Angeles
12206,HRL,26.22638889,-97.65444444,America/Chicago
12207,HRO,36.26138889,-93.15472222,America/Chicago
12211,HSH,35.97277778,-115.13444444,America/Los_Angeles
12212,HSI,40.60527778,-98.42777778,America/Chicago
12214,HSL,65.69777778,-156.35138889,America/Anchorage
12215,HSP,37.95138889,-79.83388889,America/New_York
12216,HST,25.48861111,-80.38361111,America/New_York
12217,HSV,34.63722222,-86.775,America/Chicago
12220,HTH,38.545,-118.6325,America/Los_Angeles
12222,HTO,40.95944444,-72.25166667,America/New_York
12223,HTS,38.36861111,-82.56027778,America/New_York
12225,HUA,34.67861111,-86.68472222,America/Chicago
12226,HUC,18.13805556,-65.80083333,America/Puerto_Rico
12228,HUF,39.45055556,-87.30694444,America/Indiana/Indianapolis
12232,HUL,46.12472222,-67.79222222,America/New_York
12233,HUM,29.56638889,-90.66055556,America/Chicago
12235,HUS,66.03916667,-154.26472222,America/Anchorage
12236,HUT,38.06305556,-97.86111111,America/Chicago
12243,HVC,36.85694444,-87.455,America/Chicago
12244,HVN,41.26361111,-72.88777778,America/New_York
12245,HVR,48.54416667,-109.75916667,America/Denver
12246,HVS,34.40305556,-80.11916667,America/New_York
12247,HWD,37.65888889,-122.12166667,America/Los_Angeles
12248,HWI,58.13333333,-134.75,America/Juneau
12250,HYA,41.66944444,-70.28027778,America/New_York
12252,HYG,55.20666667,-132.82666667,America/Sitka
12253,HYL,55.48194444,-132.64444444,America/Sitka
12254,HYR,46.02527778,-91.44416667,America/Chicago
12255,HYS,38.84222222,-99.27305556,America/Chicago
12259,HZL,40.98666667,-75.99472222,America/New_York
12260,IA1,40.75166667,-95.41361111,America/Chicago
12261,IA2,42.43638889,-93.86888889,America/Chicago
12262,IA3,41.01083333,-95.25888889,America/Chicago
12263,IAB,37.62305556,-97.2675,America/Chicago
12264,IAD,38.95611111,-77.46166667,America/New_York
12265,IAG,43.10944444,-78.93305556,America/New_York
12266,IAH,29.98555556,-95.34111111,America/Chicago
12268,IAN,66.97611111,-160.43861111,America/Anchorage
12278,ICT,37.65027778,-97.43222222,America/Chicago
12279,ICY,59.96888889,-141.66166667,America/Anchorage
12280,IDA,43.525,-112.05861111,America/Boise
12281,IDI,40.63111111,-79.10138889,America/New_York
12283,IDP,37.15805556,-95.77888889,America/Chicago
12294,IGG,59.32416667,-155.90166667,America/Anchorage
12297,IGM,35.25944444,-113.93805556,America/Phoenix
12303,IGX,35.935,-79.06583333,America/New_York
12305,II1,40.29361111,-88.1425,America/Chicago
12306,LOT,41.60805556,-88.09638889,America/Chicago
12307,II3,41.93388889,-88.70555556,America/Chicago
12308,II4,40.15861111,-89.335,America/Chicago
12310,IJX,39.77444444,-90.23861111,America/Chicago
12312,IKB,36.22361111,-81.09861111,America/New_York
12314,IKK,41.07138889,-87.84638889,America/Chicago
12315,IKO,52.94166667,-168.84916667,America/Nome
12317,IKV,41.69138889,-93.56638889,America/Chicago
12319,ILE,31.08583333,-97.68638889,America/Chicago
12320,ILG,39.67833333,-75.60694444,America/New_York
12321,ILI,59.75555556,-154.91777778,America/Anchorage
12322,ILL,45.11694444,-95.12944444,America/Chicago
12323,ILM,34.2675,-77.90277778,America/New_York
12324,ILN,39.43111111,-83.79777778,America/New_York
12332,IML,40.51027778,-101.62027778,America/Denver
12333,IMM,26.43361111,-81.40055556,America/New_York
12335,IMT,45.81833333,-88.11444444,America/Menominee
12336,IN1,41.30722222,-85.06055556,America/Indiana/Indianapolis
12337,IN2,40.02861111,-86.25138889,America/Indiana/Indianapolis
12339,IND,39.71722222,-86.29472222,America/Indiana/Indianapolis
12343,INL,48.56555556,-93.40222222,America/Chicago
12347,INS,36.58638889,-115.6775,America/Los_Angeles
12348,INT,36.13361111,-80.22194444,America/New_York
